ts,latitude,longitude,satellites
129.17,39.393741607666016,-8.27961540222168,5
129.37,39.393760681152344,-8.279598236083984,6
129.57,39.39377975463867,-8.279580116271973,6
129.77,39.393802642822266,-8.279558181762695,6
129.97,39.393821716308594,-8.279534339904785,6
130.17,39.39384078979492,-8.27951431274414,6
130.37,39.393856048583984,-8.27949333190918,6
130.57,39.39387512207031,-8.279471397399902,6
130.77,39.39388656616211,-8.279449462890625,6
131.17,39.393917083740234,-8.279403686523438,6
131.37,39.3939323425293,-8.279385566711426,6
131.57,39.39393997192383,-8.279366493225098,6
131.77,39.393951416015625,-8.279349327087402,6
132.17,39.39397430419922,-8.279319763183594,6
132.37,39.39398956298828,-8.279306411743164,6
132.57,39.394004821777344,-8.279293060302734,6
132.77,39.39401626586914,-8.279280662536621,6
132.97,39.3940315246582,-8.279268264770508,6
133.17,39.394046783447266,-8.279256820678711,6
133.37,39.394065856933594,-8.2792387008667,6
133.57,39.39408493041992,-8.279219627380371,6
133.67,39.39408493041992,-8.279219627380371,6
133.77,39.39410400390625,-8.279197692871094,6
134.17,39.39413833618164,-8.27915096282959,6
134.37,39.39414978027344,-8.279131889343262,6
134.57,39.394161224365234,-8.27911376953125,6
134.77,39.39417266845703,-8.279096603393555,6
135.17,39.394195556640625,-8.279058456420898,6
135.37,39.39421081542969,-8.279044151306152,6
135.57,39.39422607421875,-8.27902603149414,6
135.67,39.39422607421875,-8.27902603149414,6
135.77,39.39424514770508,-8.279009819030762,6
136.17,39.3942756652832,-8.278974533081055,6
136.37,39.39429473876953,-8.278956413269043,6
136.57,39.394309997558594,-8.278934478759766,6
136.77,39.39432144165039,-8.278914451599121,6
137.17,39.394351959228516,-8.27886962890625,6
137.37,39.39436340332031,-8.27884578704834,6
137.57,39.39437484741211,-8.278823852539062,6
137.67,39.39437484741211,-8.278823852539062,6
137.77,39.39438247680664,-8.27880859375,6
138.17,39.39440155029297,-8.278767585754395,6
138.37,39.394412994384766,-8.278756141662598,6
138.57,39.39442443847656,-8.278745651245117,6
138.77,39.394439697265625,-8.278731346130371,6
139.17,39.39447021484375,-8.278697967529297,6
139.37,39.39448547363281,-8.278685569763184,6
139.57,39.39450454711914,-8.27867317199707,6
139.67,39.39450454711914,-8.27867317199707,6
139.77,39.39452362060547,-8.278656959533691,6
140.17,39.394561767578125,-8.278626441955566,6
140.37,39.39457702636719,-8.27861213684082,6
140.57,39.394596099853516,-8.278594017028809,6
140.77,39.39461135864258,-8.27857494354248,6
141.17,39.39463806152344,-8.278532028198242,6
141.37,39.3946533203125,-8.278511047363281,6
141.57,39.3946647644043,-8.27849292755127,6
141.67,39.3946647644043,-8.27849292755127,6
141.77,39.394676208496094,-8.278477668762207,6
142.17,39.39470291137695,-8.278450965881348,6
142.37,39.394718170166016,-8.278440475463867,6
142.57,39.39473342895508,-8.278429985046387,6
142.77,39.39474868774414,-8.278417587280273,6
143.17,39.39478302001953,-8.278386116027832,6
143.37,39.39480209350586,-8.278366088867188,6
143.57,39.39481735229492,-8.278343200683594,6
143.67,39.39481735229492,-8.278343200683594,6
143.77,39.394832611083984,-8.278321266174316,6
144.17,39.39485549926758,-8.278279304504395,6
144.37,39.39487075805664,-8.278264045715332,6
144.57,39.39488220214844,-8.27824592590332,6
144.77,39.394893646240234,-8.278233528137207,6
145.17,39.394920349121094,-8.278203964233398,6
145.37,39.394935607910156,-8.278192520141602,6
145.57,39.39495849609375,-8.278181076049805,6
145.67,39.39495849609375,-8.278181076049805,6
145.77,39.39497756958008,-8.278166770935059,6
146.17,39.395015716552734,-8.278133392333984,6
146.37,39.3950309753418,-8.278111457824707,6
146.57,39.39505386352539,-8.27808666229248,6
